id,name,symbol,price_usd,market_cap,ai,gaming,memes,rwa,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,atl,atl_change_percentage
akitavax,Akitavax,akitax,1.55e-06,0.0,0,0,1,0,6223.0,14322.7,9.22,0.000232565,0.00020407999999999998,3.3768800000000005e-07,1.1562299999999999,356.71000000000004,0.69408,0.0,9240000000.0,10000000000.0,0.00387473,-99.96,8.19794e-07,89.08118
corgidoge,Corgidoge,corgi,9.08063e-10,0.0,0,0,1,0,6223.0,8172.56,6.16,9.11116e-10,8.99883e-10,-5.22195e-13,-0.05747,0.0,0.0,0.0,9000000000000.0,1000000000.0,1.13e-06,-99.91992,4.45683e-10,103.7338
baby-shiba-inu,Baby Shiba Inu,babyshibainu,6.14e-09,0.0,0,0,1,0,6223.0,6140115.0,221.69,6.14e-09,6.078e-09,3.6412e-11,0.59654,0.0,0.0,0.0,1000000000000000.0,1000000000000000.0,5.052e-08,-87.84698,2.051e-12,299241.38248
baby-coq-inu,Baby Coq Inu,bcoq,3.6193e-08,0.0,0,0,1,0,6223.0,15225.89,12.7,0.000232565,0.00020407999999999998,3.3768800000000005e-07,1.1562299999999999,356.71000000000004,0.69408,0.0,420690000000.0,420690000000.0,2.22e-06,-98.37008,3.0974e-08,16.84852
baby-elon,Baby Elon,babyelon,6.4488e-13,0.0,0,0,1,0,6223.0,272202.0,658.24,6.52027e-13,6.4133e-13,-7.108e-15,-1.09016,0.0,0.0,0.0,4.2e+17,4.2e+17,3.4171e-11,-98.10335,4.91975e-13,31.73423
cocoro,Cocoro,cocoro,0.00506072,0.0,0,0,1,0,6223.0,5022684.0,1067898.0,0.00508306,0.00471832,0.0002582,5.37642,0.0,0.0,0.0,1000000000.0,1000000000.0,0.082678,-93.92498,0.00405743,23.78969
1rus-btc25,@BTC25,@btc25,4.06301e-10,0.0,0,0,1,0,6223.0,170927.0,5.63,4.06022e-10,4.01941e-10,3.384e-12,0.83993,0.0,0.0,0.0,420689996314947.0,420689996314947.0,8.923e-09,-95.44951,2.67099e-10,52.01174
dog-collar,Dog Collar,collar,2.66583e-10,0.0,0,0,1,0,6223.0,266583.0,17.11,0.000232565,0.00020407999999999998,3.3768800000000005e-07,1.1562299999999999,356.71000000000004,0.69408,0.0,1000000000000000.0,1000000000.0,2.63266e-07,-99.89874,1.74678e-10,52.61346
bitshiba,BitShiba,shiba,5.39268e-10,0.0,0,0,1,0,6223.0,539247.0,591.3,5.46561e-10,5.37852e-10,-3.697248e-12,-0.68094,0.0,0.0,0.0,1000000000000000.0,1000000000000000.0,3.83357e-07,-99.85934,4.30076e-10,25.38337
bolt-on-base,BOLT on Base,bolt,0.00031587,0.0,0,0,1,0,6223.0,301770.0,2024.58,0.00031432,0.00028645,2.511e-05,8.63603,0.0,0.0,0.0,955358259.328856,1000000000.0,0.02438675,-98.71109,0.00014331,119.32519
all-street-bets,All Street Bets,bets,1.301e-05,0.0,0,0,1,0,6223.0,129051.0,56764.0,1.291e-05,1.13e-05,1.7e-06,15.06547,0.0,0.0,0.0,10000000000.0,10000000000.0,0.0027772,-99.53532,1.13e-05,14.21445
cope-coin,Cope Coin,cope,1.39e-06,0.0,0,0,1,0,6223.0,95595.0,39.51,1.39e-06,1.35e-06,2.3963e-08,1.76011,0.0,0.0,0.0,69000000000.0,1000000000.0,4.474e-05,-96.90343,7.53577e-07,83.84701
derp-3,DERP,derp,3.118e-08,0.0,0,1,1,0,6223.0,1.25,0.0,3.118e-08,3.118e-08,0.0,0.0,0.0,0.0,0.0,40000000.0,100000000.0,3.202e-08,-2.62345,2.7953e-08,11.54499
baby-floki,Baby Floki,babyfloki,2.30454e-10,0.0,0,0,1,0,6223.0,230441.0,19.34,2.30779e-10,2.28073e-10,2.29054e-13,0.09949,0.0,0.0,0.0,1000000000000000.0,1000000000.0,1.5159e-08,-98.47993,1.11576e-10,106.52371
crodie,Crodie,crodie,0.00029332,0.0,0,0,1,0,6223.0,292680.0,2869.04,0.00029514,0.00027362,1.424e-05,5.10084,-272338.75154500274,-100.0,0.0,999882552.1043726,1000000000.0,0.04299022,-99.31911,4.471e-05,554.74898
based-2,BASED,based,2.87e-06,0.0,0,0,1,0,6223.0,216110.0,7508.42,2.87e-06,2.42e-06,4.26559e-07,17.47314,0.0,0.0,0.0,75273150000.0,75273150000.0,0.00014093,-97.96395,1.62e-06,77.4905
brett0x66,BRETT0X66,$brett,6.91734e-07,0.0,0,0,1,0,6223.0,29101.0,64.69,6.96483e-07,6.79645e-07,7.706e-09,1.12663,0.0,0.0,0.0,42069000000.0,42069000000.0,3.623e-05,-98.09086,5.50396e-07,25.67919
bobo,Bobo,bobo,5.67728e-10,0.0,0,0,1,0,6223.0,239068.0,211.02,5.67265e-10,5.34251e-10,3.288e-11,6.14761,0.0,0.0,0.0,420690000000000.0,420690000000000.0,1.14332e-07,-99.50455,2.18875e-10,158.80595
dogebits-drc-20,Dogebits (DRC-20),dbit,1.30004e-10,0.0,0,0,1,0,6223.0,273009.0,604.75,1.30023e-10,1.29999e-10,-3.677e-15,-0.00283,0.0,0.0,0.0,2100000000000000.0,2100000000000000.0,4.057e-09,-96.79573,2.4999e-11,420.03592
axol,AXOL,axol,0.00133239,0.0,0,0,1,0,6223.0,1332386.0,68027.0,0.00170167,0.00129328,-0.0003490363888464,-20.7584,0.0,0.0,0.0,1000000000.0,1000000000.0,0.079047,-98.31976,2.083e-05,6275.70621
chief-troll-officer-2,Chief Troll Officer,cto,4.607e-11,0.0,0,0,1,0,6223.0,19381.26,71.88,0.000232565,0.00020407999999999998,3.3768800000000005e-07,1.1562299999999999,356.71000000000004,0.69408,0.0,420690000000000.0,420690000000000.0,7.79248e-10,-94.08787,2.8181e-11,63.48133
chonk-the-cat,Chonk The Cat,chonk,2.273e-05,0.0,0,0,1,0,6223.0,22729.0,63.97,0.000232565,0.00020407999999999998,3.3768800000000005e-07,1.1562299999999999,356.71000000000004,0.69408,0.0,1000000000.0,1000000000.0,0.00239021,-99.04908,2.096e-05,8.43012
bcoq-inu,BCOQ INU,bcoq,3.756e-09,0.0,0,0,1,0,6223.0,260846.0,51940.0,4.455e-09,3.061e-09,6.42081e-10,20.61777,0.0,0.0,0.0,69412558275909.0,69412558275909.0,2.87596e-07,-98.69334,2.408e-09,56.06503
